epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1119.99,1.39701,2.79571,1.50206,0.45304,0.3845,0.36763,0.16863,1.76386,2.53329,1.75354,0.00023654,0.00023654,0.00023654
2,1799.98,1.29147,1.85821,1.44444,0.54526,0.42434,0.44491,0.21614,1.80084,2.07691,1.80589,0.000465144,0.000465144,0.000465144
3,2495.06,1.25673,1.69321,1.41577,0.53985,0.43891,0.44261,0.20581,1.87222,2.11007,1.85746,0.000684323,0.000684323,0.000684323
4,3212.5,1.24196,1.59646,1.38786,0.64084,0.47447,0.52496,0.26114,1.77189,1.91808,1.79406,0.000671588,0.000671588,0.000671588
5,3995.06,1.20933,1.51372,1.36789,0.68009,0.51407,0.56452,0.25888,1.88415,1.83116,1.86743,0.000657451,0.000657451,0.000657451
6,4794.47,1.1845,1.44789,1.34319,0.65722,0.52402,0.55583,0.2585,1.84438,1.73022,1.82227,0.000643314,0.000643314,0.000643314
7,5470.14,1.16959,1.38922,1.33493,0.71996,0.52411,0.59573,0.27606,1.84136,1.75605,1.8731,0.000629177,0.000629177,0.000629177
8,6194.47,1.15287,1.35099,1.31673,0.72934,0.51506,0.57778,0.24701,1.96273,1.75512,1.86753,0.00061504,0.00061504,0.00061504
9,6873.98,1.14454,1.30806,1.30453,0.70276,0.56932,0.61224,0.29428,1.76243,1.54701,1.7356,0.000600902,0.000600902,0.000600902
10,7579.96,1.11747,1.27471,1.29455,0.84684,0.51708,0.63163,0.29504,1.88517,1.51707,1.82043,0.000586765,0.000586765,0.000586765
11,8307.32,1.10773,1.23306,1.27882,0.76153,0.54685,0.62013,0.30233,1.7796,1.47514,1.74252,0.000572628,0.000572628,0.000572628
12,9081.86,1.09074,1.20215,1.27414,0.74018,0.57294,0.62826,0.31286,1.77829,1.45628,1.7427,0.000558491,0.000558491,0.000558491
13,9865.35,1.08421,1.17955,1.26477,0.75659,0.57388,0.63529,0.33567,1.6966,1.43518,1.7029,0.000544354,0.000544354,0.000544354
14,10651.5,1.08688,1.15281,1.26096,0.77529,0.59405,0.65828,0.32334,1.75736,1.3539,1.73172,0.000530216,0.000530216,0.000530216
15,11430,1.06952,1.12971,1.25414,0.82843,0.56091,0.66156,0.33731,1.7094,1.36957,1.7083,0.000516079,0.000516079,0.000516079
16,12245.1,1.06308,1.11929,1.24764,0.77897,0.6045,0.66772,0.34881,1.73157,1.29226,1.72469,0.000501942,0.000501942,0.000501942
17,12906.4,1.04402,1.09487,1.23807,0.7411,0.5895,0.65002,0.32721,1.74629,1.3442,1.72031,0.000487805,0.000487805,0.000487805
18,13617.7,1.04382,1.07823,1.22963,0.79539,0.58084,0.67999,0.35534,1.68252,1.27878,1.69869,0.000473668,0.000473668,0.000473668
19,14329.6,1.02965,1.05683,1.22624,0.77391,0.61773,0.67407,0.36026,1.62915,1.2753,1.63892,0.00045953,0.00045953,0.00045953
20,15119.2,1.02065,1.03787,1.2249,0.84351,0.62565,0.70508,0.3772,1.65931,1.18541,1.6325,0.000445393,0.000445393,0.000445393
21,15921,0.99894,1.013,1.21116,0.79996,0.61144,0.68486,0.33528,1.76048,1.23902,1.76416,0.000431256,0.000431256,0.000431256
22,16724.7,1.01061,1.00666,1.20511,0.82419,0.62984,0.71504,0.40438,1.54666,1.13347,1.5654,0.000417119,0.000417119,0.000417119
23,17529.5,1.00497,0.98659,1.20952,0.85491,0.62796,0.71825,0.39928,1.55637,1.09945,1.60116,0.000402982,0.000402982,0.000402982
24,18333,1.00058,0.97889,1.20351,0.78156,0.65762,0.70031,0.3786,1.61625,1.13874,1.64673,0.000388844,0.000388844,0.000388844
25,19068.7,0.98138,0.95513,1.19245,0.82277,0.60256,0.6922,0.39594,1.47227,1.11599,1.54167,0.000374707,0.000374707,0.000374707
26,19779.7,0.97831,0.94219,1.18698,0.80716,0.65723,0.71551,0.4067,1.543,1.09488,1.56356,0.00036057,0.00036057,0.00036057
27,20495.6,0.97781,0.93906,1.19117,0.85219,0.6489,0.72804,0.39066,1.61473,1.08077,1.62364,0.000346433,0.000346433,0.000346433
28,21288.4,0.96196,0.92282,1.18019,0.8095,0.66415,0.73108,0.39773,1.60947,1.07671,1.6132,0.000332296,0.000332296,0.000332296
